,"Average Days in Stock","Current","1 - 60","61 - 120","121 - 180","> 180","TOTAL"
"Inventory","","","","","","",
"20-3001-0268 (Semi-finished product, BF-HS124-V56-V1.2 post-weld Finished, custom...",476.00,0.00,0.00,0.00,0.00,193.10,193.10
"20-3001-0270 (Semi-finished products, BF-HS144-UHDLH-1.1 post-weld, LVDS, Finishe...",476.00,0.00,0.00,0.00,0.00,309.00,309.00
"20-3001-1001 (18.5"" BOSE Monitor 1366x768)",2314.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3001-1018 (19.5"" Open Frame Molex 1600x900)",2314.00,0.00,0.00,0.00,0.00,79.22,79.22
"20-3002-1001 (10.1” Frameless V-Series 1280x800)",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1009 (19.5"" Frameless V-Series 1600x900)",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1014 (23"" Frameless V-Series Touch 1920x1080)",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1034 (19.5"" Frameless V-Series 1920x1080)",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1035 (19.5"" Frameless V-Series Touch 1920x1080)",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1036 (21.5"" Frameless V-Series 300nits CR3000:1 1920x1080)",630.00,0.00,0.00,0.00,0.00,1065.10,1065.10
"20-3002-1037 (21.5” Frameless V-Series Touch 1920x1080)",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1045 (10.1” Frameless V-Series BBY 260.6x140mm mounting holes 1280x800)",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1083 (8"" Frameless V-Series Touch  Camera Imbedded 1024x600)",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1091 (10.1” Frameless V-Series Duco replacement BBY Mount 245x106mm 1280x...",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1092 (10.1” Frameless V-Series TTL to RS232 Nexmosphere 1280x800)",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1104 (21"" UW Finished No Glass Daisy Chain 1920x132)",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1113 (15.6"" Frameless V-Series Touch Symmetrical Bezel V2.0 1920x1080)",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1118 (22.9"" UW Finished Slim Gen 2 No Glass Daisy Chain 1920x165)",367.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1119 (22.9"" UW Finished V-Series Slim Gen2 No Glass Daisy chain Double 19...",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1125 (23.1"" UW-Shelf Finished V-series, Daisy Chain, 158x1920)",518.00,0.00,0.00,0.00,0.00,303.10,303.10
"20-3002-1130 (19.0"" UW Finished V-Series Slim Gen2 No Glass Daisy Chain 1920x360)",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1171 (34.2” UW Custom Finished Arrow V-Series Standard V1.1 3ft Header – ...",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-1177 (28"" UW Finished V-Series HDMI input Touch 1920x360)",830.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-2001 (10.1” Frameless V-Series 1280x800)",96.00,0.00,0.00,1520.80,76.04,0.00,1596.84
"20-3002-2002 (10.1"" Frameless V-Series Touch 1280x800)",668.00,0.00,0.00,947.10,0.00,817.92,1765.02
"20-3002-2003 (11.6"" Frameless V-Series 1920x1080)",153.00,0.00,0.00,869.20,0.00,600.25,1469.45
"20-3002-2004 (11.6"" Frameless V-Series Touch 1920x1080)",29.00,0.00,1080.00,0.00,0.00,0.00,1080.00
"20-3002-2005 (13.3"" Frameless V-Series 1920x1080)",60.00,0.00,1788.60,0.00,0.00,0.00,1788.60
"20-3002-2006 (13.3"" Frameless V-Series Touch 1920x1080)",72.00,0.00,0.00,553.65,0.00,0.00,553.65
"20-3002-2007 (15.6"" Frameless V-Series 1920x1080)",141.00,0.00,0.00,0.00,1085.40,0.00,1085.40
"20-3002-2033 (32"" Frameless V-Series V2.0 1920x1080)",393.00,0.00,0.00,0.00,0.00,448.53,448.53
"20-3002-2034 (19.5"" Frameless V-Series 1920x1080)",465.00,0.00,0.00,0.00,0.00,804.80,804.80
"20-3002-2036 (21.5"" Frameless V-Series 300nits CR3000:1 1920x1080)",3.00,0.00,2326.86,0.00,0.00,0.00,2326.86
"20-3002-2037 (21.5” Frameless V-Series Touch 1920x1080)",928.00,0.00,0.00,0.00,0.00,173.61,173.61
"20-3002-2043 (27"" Frameless V-Series 1920x1080)",136.00,0.00,0.00,298.82,900.66,0.00,1199.48
"20-3002-2052 (15.6"" Finished V-Series Touch 1920x1080)",387.00,0.00,0.00,0.00,0.00,270.24,270.24
"20-3002-2054 (21.5” Finished V-Series Touch 1920x1080)",65.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-2057 (11.6"" Finished V-Series 1920x1080)",625.00,0.00,0.00,0.00,0.00,99.80,99.80
"20-3002-2058 (13.3"" Finished V-Series Touch 1920x1080)",2.00,0.00,5020.68,0.00,0.00,0.00,5020.68
"20-3002-2059 (13.3"" Finished V-Series 1920x1080)",130.00,0.00,0.00,0.00,520.20,0.00,520.20
"20-3002-2091 (10.1” Frameless V-Series Duco replacement  BBY Mount 245x106mm 1280...",143.00,0.00,0.00,0.00,152.08,0.00,152.08
"20-3002-2101 (23.8"" Frameless V-Series 1920x1080)",107.00,0.00,0.00,826.24,502.80,0.00,1329.04
"20-3002-2103 (10.1” Frameless V-Series BBY 260.6x140mm mounting holes1280x800)",65.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-2192 (43"" UW Finished V-Series Camera 1920x336)",65.00,0.00,0.00,0.00,0.00,0.00,0.00
"20-3002-2199 (35.8"" UW Finished V-Series 1920x540)",65.00,0.00,0.00,0.00,0.00,0.00,0.00
